"ROT_REG
RLC B","ROT_REG
RLC C","ROT_REG
RLC D","ROT_REG
RLC E","ROT_REG
RLC H","ROT_REG
RLC L","ROT_MEM
RLC (HL)","ROT_REG
RLC A","ROT_REG
RRC B","ROT_REG
RRC C","ROT_REG
RRC D","ROT_REG
RRC E","ROT_REG
RRC H","ROT_REG
RRC L","ROT_MEM
RRC (HL)","ROT_REG
RRC A"
"ROT_REG
RL B","ROT_REG
RL C","ROT_REG
RL D","ROT_REG
RL E","ROT_REG
RL H","ROT_REG
RL L","ROT_MEM
RL (HL)","ROT_REG
RL A","ROT_REG
RR B","ROT_REG
RR C","ROT_REG
RR D","ROT_REG
RR E","ROT_REG
RR H","ROT_REG
RR L","ROT_MEM
RR (HL)","ROT_REG
RR A"
"ROT_REG
SLA B","ROT_REG
SLA C","ROT_REG
SLA D","ROT_REG
SLA E","ROT_REG
SLA H","ROT_REG
SLA L","ROT_MEM
SLA (HL)","ROT_REG
SLA A","ROT_REG
SRA B","ROT_REG
SRA C","ROT_REG
SRA D","ROT_REG
SRA E","ROT_REG
SRA H","ROT_REG
SRA L","ROT_MEM
SRA (HL)","ROT_REG
SRA A"
"ROT_REG
SLL B","ROT_REG
SLL C","ROT_REG
SLL D","ROT_REG
SLL E","ROT_REG
SLL H","ROT_REG
SLL L","ROT_MEM
SLL (HL)","ROT_REG
SLL A","ROT_REG
SRL B","ROT_REG
SRL C","ROT_REG
SRL D","ROT_REG
SRL E","ROT_REG
SRL H","ROT_REG
SRL L","ROT_MEM
SRL (HL)","ROT_REG
SRL A"
"BIT_REG
BIT 0,B","BIT_REG
BIT 0,C","BIT_REG
BIT 0,D","BIT_REG
BIT 0,E","BIT_REG
BIT 0,H","BIT_REG
BIT 0,L","BIT_MEM
BIT 0,(HL)","BIT_REG
BIT 0,A","BIT_REG
BIT 1,B","BIT_REG
BIT 1,C","BIT_REG
BIT 1,D","BIT_REG
BIT 1,E","BIT_REG
BIT 1,H","BIT_REG
BIT 1,L","BIT_MEM
BIT 1,(HL)","BIT_REG
BIT 1,A"
"BIT_REG
BIT 2,B","BIT_REG
BIT 2,C","BIT_REG
BIT 2,D","BIT_REG
BIT 2,E","BIT_REG
BIT 2,H","BIT_REG
BIT 2,L","BIT_MEM
BIT 2,(HL)","BIT_REG
BIT 2,A","BIT_REG
BIT 3,B","BIT_REG
BIT 3,C","BIT_REG
BIT 3,D","BIT_REG
BIT 3,E","BIT_REG
BIT 3,H","BIT_REG
BIT 3,L","BIT_MEM
BIT 3,(HL)","BIT_REG
BIT 3,A"
"BIT_REG
BIT 4,B","BIT_REG
BIT 4,C","BIT_REG
BIT 4,D","BIT_REG
BIT 4,E","BIT_REG
BIT 4,H","BIT_REG
BIT 4,L","BIT_MEM
BIT 4,(HL)","BIT_REG
BIT 4,A","BIT_REG
BIT 5,B","BIT_REG
BIT 5,C","BIT_REG
BIT 5,D","BIT_REG
BIT 5,E","BIT_REG
BIT 5,H","BIT_REG
BIT 5,L","BIT_MEM
BIT 5,(HL)","BIT_REG
BIT 5,A"
"BIT_REG
BIT 6,B","BIT_REG
BIT 6,C","BIT_REG
BIT 6,D","BIT_REG
BIT 6,E","BIT_REG
BIT 6,H","BIT_REG
BIT 6,L","BIT_MEM
BIT 6,(HL)","BIT_REG
BIT 6,A","BIT_REG
BIT 7,B","BIT_REG
BIT 7,C","BIT_REG
BIT 7,D","BIT_REG
BIT 7,E","BIT_REG
BIT 7,H","BIT_REG
BIT 7,L","BIT_MEM
BIT 7,(HL)","BIT_REG
BIT 7,A"
"RES_REG
RES 0,B","RES_REG
RES 0,C","RES_REG
RES 0,D","RES_REG
RES 0,E","RES_REG
RES 0,H","RES_REG
RES 0,L","RES_MEM
RES 0,(HL)","RES_REG
RES 0,A","RES_REG
RES 1,B","RES_REG
RES 1,C","RES_REG
RES 1,D","RES_REG
RES 1,E","RES_REG
RES 1,H","RES_REG
RES 1,L","RES_MEM
RES 1,(HL)","RES_REG
RES 1,A"
"RES_REG
RES 2,B","RES_REG
RES 2,C","RES_REG
RES 2,D","RES_REG
RES 2,E","RES_REG
RES 2,H","RES_REG
RES 2,L","RES_MEM
RES 2,(HL)","RES_REG
RES 2,A","RES_REG
RES 3,B","RES_REG
RES 3,C","RES_REG
RES 3,D","RES_REG
RES 3,E","RES_REG
RES 3,H","RES_REG
RES 3,L","RES_MEM
RES 3,(HL)","RES_REG
RES 3,A"
"RES_REG
RES 4,B","RES_REG
RES 4,C","RES_REG
RES 4,D","RES_REG
RES 4,E","RES_REG
RES 4,H","RES_REG
RES 4,L","RES_MEM
RES 4,(HL)","RES_REG
RES 4,A","RES_REG
RES 5,B","RES_REG
RES 5,C","RES_REG
RES 5,D","RES_REG
RES 5,E","RES_REG
RES 5,H","RES_REG
RES 5,L","RES_MEM
RES 5,(HL)","RES_REG
RES 5,A"
