"NOP
NOP","IMM_TO_PAIR
LD BC,????","ACC_TO_MEM
LD (BC),A","INC_WORD
INC BC","INC_REG
INC B","DEC_REG
DEC B","IMM_TO_REG
LD B,??","ALU_SHIFT
RLCA","SWAP_AF
EX AF,AF'","ADD_WORD
ADD HL,BC","MEM_TO_ACC
LD A,(BC)","DEC_WORD
DEC BC","INC_REG
INC C","DEC_REG
DEC C","IMM_TO_REG
LD C,??","ALU_SHIFT
RRCA"
"BRANCH_DJ
DJNZ ??","IMM_TO_PAIR
LD DE,????","ACC_TO_MEM
LD (DE),A","INC_WORD
INC DE","INC_REG
INC D","DEC_REG
DEC D","IMM_TO_REG
LD D,??","ALU_SHIFT
RLA","BRANCH
JR ??","ADD_WORD
ADD HL,DE","MEM_TO_ACC
LD A,(DE)","DEC_WORD
DEC DE","INC_REG
INC E","DEC_REG
DEC E","IMM_TO_REG
LD E,??","ALU_SHIFT
RRA"
"BRANCH_CN
JR NZ,??","IMM_TO_PAIR
LD HL,????","HL_TO_ABS
LD (????),HL","INC_WORD
INC HL","INC_REG
INC H","DEC_REG
DEC H","IMM_TO_REG
LD H,??","DAA
DAA","BRANCH_CN
JR Z,??","ADD_WORD
ADD HL,HL","ABS_TO_HL
LD HL,(????)","DEC_WORD
DEC HL","INC_REG
INC L","DEC_REG
DEC L","IMM_TO_REG
LD L,??","CPL
CPL"
"BRANCH_CN
JR NC,??","IMM_TO_PAIR
LD SP,????","ACC_TO_ABS
LD (????),A","INC_WORD
INC SP","INC_MEM
INC (HL)","DEC_MEM
DEC (HL)","IMM_TO_MEM
LD (HL),??","SCF
SCF","BRANCH_CN
JR C,??","ADD_WORD
ADD HL,SP","ABS_TO_ACC
LD A,(????)","DEC_WORD
DEC SP","INC_REG
INC A","DEC_REG
DEC A","IMM_TO_REG
LD A,??","CCF
CCF"
"REG_TO_REG
LD B,B","REG_TO_REG
LD B,C","REG_TO_REG
LD B,D","REG_TO_REG
LD B,E","REG_TO_REG
LD B,H","REG_TO_REG
LD B,L","MEM_TO_REG
LD B,(HL)","REG_TO_REG
LD B,A","REG_TO_REG
LD C,B","REG_TO_REG
LD C,C","REG_TO_REG
LD C,D","REG_TO_REG
LD C,E","REG_TO_REG
LD C,H","REG_TO_REG
LD C,L","MEM_TO_REG
LD C,(HL)","REG_TO_REG
LD C,A"
"REG_TO_REG
LD D,B","REG_TO_REG
LD D,C","REG_TO_REG
LD D,D","REG_TO_REG
LD D,E","REG_TO_REG
LD D,H","REG_TO_REG
LD D,L","MEM_TO_REG
LD D,(HL)","REG_TO_REG
LD D,A","REG_TO_REG
LD E,B","REG_TO_REG
LD E,C","REG_TO_REG
LD E,D","REG_TO_REG
LD E,E","REG_TO_REG
LD E,H","REG_TO_REG
LD E,L","MEM_TO_REG
LD E,(HL)","REG_TO_REG
LD E,A"
"REG_TO_REG
LD H,B","REG_TO_REG
LD H,C","REG_TO_REG
LD H,D","REG_TO_REG
LD H,E","REG_TO_REG
LD H,H","REG_TO_REG
LD H,L","MEM_TO_REG
LD H,(HL)","REG_TO_REG
LD H,A","REG_TO_REG
LD L,B","REG_TO_REG
LD L,C","REG_TO_REG
LD L,D","REG_TO_REG
LD L,E","REG_TO_REG
LD L,H","REG_TO_REG
LD L,L","MEM_TO_REG
LD L,(HL)","REG_TO_REG
LD L,A"
"REG_TO_MEM
LD (HL),B","REG_TO_MEM
LD (HL),C","REG_TO_MEM
LD (HL),D","REG_TO_MEM
LD (HL),E","REG_TO_MEM
LD (HL),H","REG_TO_MEM
LD (HL),L","HALT
HALT","REG_TO_MEM
LD (HL),A","REG_TO_REG
LD A,B","REG_TO_REG
LD A,C","REG_TO_REG
LD A,D","REG_TO_REG
LD A,E","REG_TO_REG
LD A,H","REG_TO_REG
LD A,L","MEM_TO_REG
LD A,(HL)","REG_TO_REG
LD A,A"
"ALU_REG
ADD A,B","ALU_REG
ADD A,C","ALU_REG
ADD A,D","ALU_REG
ADD A,E","ALU_REG
ADD A,H","ALU_REG
ADD A,L","ALU_MEM
ADD A,(HL)","ALU_REG
ADD A,A","ALU_REG
ADC A,B","ALU_REG
ADC A,C","ALU_REG
ADC A,D","ALU_REG
ADC A,E","ALU_REG
ADC A,H","ALU_REG
ADC A,L","ALU_MEM
ADC A,(HL)","ALU_REG
ADC A,A"
"ALU_REG
SUB B","ALU_REG
SUB C","ALU_REG
SUB D","ALU_REG
SUB E","ALU_REG
SUB H","ALU_REG
SUB L","ALU_MEM
SUB (HL)","ALU_REG
SUB A","ALU_REG
SBC A,B","ALU_REG
SBC A,C","ALU_REG
SBC A,D","ALU_REG
SBC A,E","ALU_REG
SBC A,H","ALU_REG
SBC A,L","ALU_MEM
SBC A,(HL)","ALU_REG
SBC A,A"
"ALU_REG
AND B","ALU_REG
AND C","ALU_REG
AND D","ALU_REG
AND E","ALU_REG
AND H","ALU_REG
AND L","ALU_MEM
AND (HL)","ALU_REG
AND A","ALU_REG
XOR B","ALU_REG
XOR C","ALU_REG
XOR D","ALU_REG
XOR E","ALU_REG
XOR H","ALU_REG
XOR L","ALU_MEM
XOR (HL)","ALU_REG
XOR A"
"ALU_REG
OR B","ALU_REG
OR C","ALU_REG
OR D","ALU_REG
OR E","ALU_REG
OR H","ALU_REG
OR L","ALU_MEM
OR (HL)","ALU_REG
OR A","CMP_REG
CP B","CMP_REG
CP C","CMP_REG
CP D","CMP_REG
CP E","CMP_REG
CP H","CMP_REG
CP L","CMP_MEM
CP (HL)","CMP_REG
CP A"
"RET_CN
RET NZ","POP
POP BC","JMP_CN
JP NZ,????","JMP
JP ????","CALL_CN
CALL NZ,????","PUSH
PUSH BC","ALU_IMM
ADD A,??","RST
RST 0x00","RET_CN
RET Z","RET
RET","JMP_CN
JP Z,????","-
CB","CALL_CN
CALL Z,????","CALL
CALL ????","ALU_IMM
ADC A,??","RST
RST 0x08"
"RET_CN
RET NC","POP
POP DE","JMP_CN
JP NC,????","OUTPUT
OUT (??),A","CALL_CN
CALL NC,????","PUSH
PUSH DE","ALU_IMM
SUB ??","RST
RST 0x10","RET_CN
RET C","SWAP_ALL
EXX","JMP_CN
JP C,????","INPUT
IN A,(??)","CALL_CN
CALL C,????","-
DD","ALU_IMM
SBC A,??","RST
RST 0x18"
